user_id,test_domain,classification,elapsed_time,result
ef03e9ec-33a3-4733-b714-fee31a93756b,mobile.linkedin.com,0,2374,1
ef03e9ec-33a3-4733-b714-fee31a93756b,welsfargo-fund.com,1,2160,1
ef03e9ec-33a3-4733-b714-fee31a93756b,linkedinverification.eu,1,1879,1
ef03e9ec-33a3-4733-b714-fee31a93756b,paygonline.com,0,2601,0
ef03e9ec-33a3-4733-b714-fee31a93756b,vnotice1001.wellsfargo3032030102.com,1,2560,1
ef03e9ec-33a3-4733-b714-fee31a93756b,update-info-data-paypal.usa.cc,1,2936,1
ef03e9ec-33a3-4733-b714-fee31a93756b,amazonorigin.com,1,2616,1
ef03e9ec-33a3-4733-b714-fee31a93756b,linkedinsecurity.athenafinance.com.au,1,2136,1
ef03e9ec-33a3-4733-b714-fee31a93756b,xfinity.com,0,1791,0
ef03e9ec-33a3-4733-b714-fee31a93756b,amazon.update.com.sonsofsamhorn.com,1,2416,1
ef03e9ec-33a3-4733-b714-fee31a93756b,mydhl.dhl.com,0,1864,1
ef03e9ec-33a3-4733-b714-fee31a93756b,paypal-resolve-now.sign-in-customer.info,1,2960,1
ef03e9ec-33a3-4733-b714-fee31a93756b,www.americanexpress-sx89gox03gqn.com,1,2456,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,www.update-linkedin.com,1,5604,1
ef03e9ec-33a3-4733-b714-fee31a93756b,yahoo.com.verifyuser.account.catpellet.com.tr,1,2464,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,www.docusigner.org,1,2557,0
ef03e9ec-33a3-4733-b714-fee31a93756b,dropbox-documents.us,1,1640,0
ef03e9ec-33a3-4733-b714-fee31a93756b,itunes-appleid.com,1,1920,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,docusign.signedcopy.online,1,2481,1
ef03e9ec-33a3-4733-b714-fee31a93756b,yahoo.update.azadari.co.uk,1,1752,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,google.drive.amazonascde.com,1,1945,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,yahoo-mailverification.com,1,1697,1
ef03e9ec-33a3-4733-b714-fee31a93756b,micrsoftomline.com,1,3408,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,netflixmaster.com,1,1975,1
ef03e9ec-33a3-4733-b714-fee31a93756b,paypal.support.webmpps-service.tk,1,2144,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,amazon.com.a4b.it,1,1334,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,vnotice1001.wellsfargo3032030102.com,1,1191,1
bf3eebee-327b-4136-b3fb-0729a71e93aa,americanexpressbeta.com,1,3733,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,www.dropbox-en.ml,1,1561,1
ef03e9ec-33a3-4733-b714-fee31a93756b,www.facebook.com.bckiwanis.org,1,2920,1
bf3eebee-327b-4136-b3fb-0729a71e93aa,email-bank0famerica.ga,1,2234,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,bankofamerica.online.dhadetailing.com,1,1564,1
ef03e9ec-33a3-4733-b714-fee31a93756b,netflixmaster.com,1,3184,1
bf3eebee-327b-4136-b3fb-0729a71e93aa,linkediin.internetdatingstories.com,1,2421,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,www.orange.fr.facturation74589.site,1,1928,1
ef03e9ec-33a3-4733-b714-fee31a93756b,account-xfinity-update.hmm-wood.com,1,2168,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,id-apple.store.update.cmd-pool.data.bullamakanka.com.au,1,2057,1
bf3eebee-327b-4136-b3fb-0729a71e93aa,www.dropbox-en.ml,1,3238,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,www.facebook.com.bckiwanis.org,1,1224,1
ef03e9ec-33a3-4733-b714-fee31a93756b,login.microsoftonline.com.l--6.us,1,2720,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,xfinity-update.jordanstyles.gq,1,1750,1
bf3eebee-327b-4136-b3fb-0729a71e93aa,bankofamerica.online.dhadetailing.com,1,2337,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,dropbox.com.businesss.upload-documents78shh.com.steelmarineservice.com,1,1728,0
bf3eebee-327b-4136-b3fb-0729a71e93aa,www.amazon.com.paulowanderley.com.br,1,1905,1
ef03e9ec-33a3-4733-b714-fee31a93756b,secure.bankofamerica.com,0,3656,0
be07c01a-ddd0-40ae-a147-e0e40fb895ab,www.facebook.getoffer.info,1,2374,0
bf3eebee-327b-4136-b3fb-0729a71e93aa,www.docusigner.org,1,2219,0
ef03e9ec-33a3-4733-b714-fee31a93756b,paypal.com,0,1776,0
be07c01a-ddd0-40ae-a147-e0e40fb895ab,delivery-shipment-dhl.000webhostapp.com,1,1287,1
bf3eebee-327b-4136-b3fb-0729a71e93aa,wellsfargo.pekur.sk,1,1794,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,account-yahoo.mooo.com,1,1766,1
ef03e9ec-33a3-4733-b714-fee31a93756b,login.drive.google.avdihd.tk,1,2144,1
bf3eebee-327b-4136-b3fb-0729a71e93aa,id-apple.store.update.cmd-pool.data.bullamakanka.com.au,1,1938,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,paypal-community.com,0,1613,0
ef03e9ec-33a3-4733-b714-fee31a93756b,microsoftupgrade-net.ml,1,1688,1
be07c01a-ddd0-40ae-a147-e0e40fb895ab,linkedn.altervista.org,1,1085,1
