user_id,completion_code,os,browser,version,is_mobile,finished_step1,finished_step2,finished_step3,finished_step4,finished_questionnaire,age,gender,education,origin,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,            f11,f12,f13,f14,f15,f16,sum,avg,attention_test1,attention_test2,phishing,techniques,future
ef03e9ec-33a3-4733-b714-fee31a93756b,dd2b51e6-baa4-40f2-9a65-90fb0d8d2ea5,Windows 10.0,Chrome,78.0.3904.97,0,1,1,1,1,1,36_45,male,over_master,north_america,1,1,0,0,0,2,2,0,1,1,2,2,2,0,2,0,16,1.0,never,often,no,no,yes
be07c01a-ddd0-40ae-a147-e0e40fb895ab,183b2357-56d6-453b-9625-c2fb84b5256b,Windows 10.0,Chrome,78.0.3904.97,0,1,1,1,1,1,26_35,female,bachelor,north_america,2,3,1,4,4,4,0,1,2,3,3,2,3,0,4,0,36,2.25,never,always,yes,no,yes
0537de69-16f9-4fc6-be8f-f34537a7f01f,0b721054-04be-48d5-9aa3-4a64556cb46e,Windows 7,Chrome,75.0.3770.80,0,1,1,1,1,1,26_35,male,bachelor,asia,2,2,3,4,4,4,3,1,4,3,1,4,2,0,3,2,42,2.625,never,often,no,no,yes
bf3eebee-327b-4136-b3fb-0729a71e93aa,880f5e97-bef7-488e-936d-3d882c0ce1dc,Windows 10.0,Chrome,78.0.3904.97,0,1,1,1,1,1,26_35,female,bachelor,north_america,0,3,1,4,4,4,0,0,3,3,0,2,3,2,2,0,31,1.9375,never,rarely,yes,not_all,yes
3e906259-bd1f-4ed5-b5ad-c11a81e9d5c3,f7ed3f4b-fdf3-453c-9228-9cc22c12766a,Linux 64,Firefox,68.0,0,1,1,1,1,1,26_35,male,high_school,north_america,2,3,3,3,4,4,0,1,3,3,1,1,3,0,4,1,36,2.25,never,sometimes,no,yes,yes
78b800ab-37b4-43d5-9b88-f984c92d06a3,d1b92c2b-9956-4483-8b5f-4d0006963219,Windows 10.0,Chrome,78.0.3904.97,0,1,1,1,1,1,26_35,male,bachelor,north_america,2,3,1,2,2,2,1,1,2,3,2,3,2,3,2,2,33,2.0625,never,rarely,not_known,not_all,not_known
bda40549-d39d-4a43-88a9-a06ba251d1d7,b358f559-4352-4c01-abeb-499d4b3e5690,Windows 10.0,Chrome,78.0.3904.97,0,1,1,1,1,1,36_45,female,high_school,north_america,3,3,2,4,4,4,2,0,3,4,2,2,3,2,2,0,40,2.5,never,always,no,no,no
ff1048ec-3f11-44c1-a715-dc632b86aee7,4ad72359-709c-4b2f-81c3-7a84e5c929cd,Windows 10.0,Chrome,78.0.3904.97,0,1,1,1,1,1,36_45,female,no_degree,north_america,0,0,2,2,2,4,0,1,2,3,1,3,3,2,2,2,29,1.8125,never,never,no,not_all,yes
75a4ca19-07a5-4161-8ac4-ade4579049b2,ecee4a76-373b-4cc6-8796-3d1bab05e112,OS X,Chrome,78.0.3904.97,0,1,1,1,1,1,over_55,non_binary,high_school,north_america,4,3,1,1,2,4,1,0,3,3,4,2,3,0,4,3,38,2.375,never,always,no,not_all,yes
30f8b39d-0439-4571-89b7-da317d433397,4aa0699f-6554-49b3-897c-0d93fa5fad14,Windows 7,Chrome,78.0.3904.97,0,1,1,1,1,1,26_35,male,bachelor,north_america,1,3,2,0,3,3,2,1,2,3,3,2,3,2,4,2,36,2.25,never,sometimes,no,yes,not_known
