user_id,test_domain,elapsed_time,result,type
ef03e9ec-33a3-4733-b714-fee31a93756b,login.att.net.issue-authentication.ml,1760,2,0
ef03e9ec-33a3-4733-b714-fee31a93756b,www.dhl.info.pl,2200,4,0
bf3eebee-327b-4136-b3fb-0729a71e93aa,online.americaexpress.moracom.co.uk,3991,3,0
bf3eebee-327b-4136-b3fb-0729a71e93aa,microsoft-openings-security-alert-errorpage111.online,4077,2,0
bf3eebee-327b-4136-b3fb-0729a71e93aa,facebook.lbyts.com,2656,2,0
bf3eebee-327b-4136-b3fb-0729a71e93aa,secure.store.apple.com.next-sign-up.com,3136,3,0
be07c01a-ddd0-40ae-a147-e0e40fb895ab,secureonline.att.homephoneandinternet.actlap.org,3290,4,0
be07c01a-ddd0-40ae-a147-e0e40fb895ab,refresh.linkedin.com.cgibin3302asuas.login-submit.cgibinsq435.memberrefresh301231.delcos.org,2864,3,0
78b800ab-37b4-43d5-9b88-f984c92d06a3,ssl-google-com-secured.spiritualscholars.com,2909,2,0
78b800ab-37b4-43d5-9b88-f984c92d06a3,secure.amazon.com.best-effectresources.com,3276,3,0
78b800ab-37b4-43d5-9b88-f984c92d06a3,dhlexpress.cf,3694,3,0
78b800ab-37b4-43d5-9b88-f984c92d06a3,docusign-docs.tk,2135,2,0
0537de69-16f9-4fc6-be8f-f34537a7f01f,jpmorganchaseonlinebankingverification.typeform.com,1618,1,0
bda40549-d39d-4a43-88a9-a06ba251d1d7,mg15-yahoo.com,1527,1,0
bda40549-d39d-4a43-88a9-a06ba251d1d7,login.docusign.securedfolder.net,2980,2,0
bda40549-d39d-4a43-88a9-a06ba251d1d7,mail.paypal-account-limitied.ml,2294,1,0
bda40549-d39d-4a43-88a9-a06ba251d1d7,apple-id.com.update.slavna-plus.com.ua,1364,1,0
bda40549-d39d-4a43-88a9-a06ba251d1d7,linkedinvalidation.eu,1248,1,0
78b800ab-37b4-43d5-9b88-f984c92d06a3,microsoftdrop.com,12160,4,0
78b800ab-37b4-43d5-9b88-f984c92d06a3,itunes.apple.verification.compte.id.admiral-placements.co.za,3438,4,0
78b800ab-37b4-43d5-9b88-f984c92d06a3,secure.paypal.com.serviceaccount-loginpage.privycy.info,2902,3,0
78b800ab-37b4-43d5-9b88-f984c92d06a3,dhlship.tk,11789,2,0
3e906259-bd1f-4ed5-b5ad-c11a81e9d5c3,docusign-docs.tk,4898,1,0
3e906259-bd1f-4ed5-b5ad-c11a81e9d5c3,americanexpressbeta.com,3106,2,0
3e906259-bd1f-4ed5-b5ad-c11a81e9d5c3,instagram.com.userig.gq,4168,2,0
3e906259-bd1f-4ed5-b5ad-c11a81e9d5c3,center-amazon-services.com,2605,3,0
bf3eebee-327b-4136-b3fb-0729a71e93aa,secure-bankofamerica.com,6643,3,0
bf3eebee-327b-4136-b3fb-0729a71e93aa,www.amazon-bestsellers.net,8770,5,0
bf3eebee-327b-4136-b3fb-0729a71e93aa,wwwnetflixmobile.com,4060,5,0
ff1048ec-3f11-44c1-a715-dc632b86aee7,www.americanexpress-sx89gox03gqn.com,1539,1,0
ff1048ec-3f11-44c1-a715-dc632b86aee7,amazon.com.update.nochelatinaclub.com,2263,1,0
75a4ca19-07a5-4161-8ac4-ade4579049b2,secure.store.apple.com.next-sign-up.com,4595,3,0
3e906259-bd1f-4ed5-b5ad-c11a81e9d5c3,ssl.gstatic.google.com.ventura.co.zm,3568,2,0
3e906259-bd1f-4ed5-b5ad-c11a81e9d5c3,login.comcast.net-xfinity-securelogin-validateaccount.x009.net,2240,1,0
75a4ca19-07a5-4161-8ac4-ade4579049b2,linkedinvalidation.eu,4273,2,0
5905d562-79b7-4f1f-b045-708572f51e3b,chasecomcredit-cards-rtbl-account-access-rtbl.000webhostapp.com,766,1,0
5905d562-79b7-4f1f-b045-708572f51e3b,paypal.verif-serv.info,2484,3,0
5905d562-79b7-4f1f-b045-708572f51e3b,instagram.com.userig.gq,1587,1,0
5905d562-79b7-4f1f-b045-708572f51e3b,shipment-dhl-notification.000webhostapp.com,1019,1,0
5905d562-79b7-4f1f-b045-708572f51e3b,match.microsoftexceldoc.com,1353,1,0
3e906259-bd1f-4ed5-b5ad-c11a81e9d5c3,xfinity-update.jordanstyles.gq,9427,1,0
3e906259-bd1f-4ed5-b5ad-c11a81e9d5c3,jpmorganchaase.mzf.cz,2374,1,0
7a034678-e309-4000-960d-b06e8077d84b,www.facebook.com.bckiwanis.org,6380,1,0
7a034678-e309-4000-960d-b06e8077d84b,dhl.deliveryinprogress.com,2377,3,0
30f8b39d-0439-4571-89b7-da317d433397,w3dropbox.com,3112,3,0
30f8b39d-0439-4571-89b7-da317d433397,connect.xfinity.com.free-flash-games-online.com,4096,4,0
30f8b39d-0439-4571-89b7-da317d433397,amazon.com.a4b.it,2817,5,0
fa6056f2-0cbf-450b-8c56-54050d37b66c,netflix-memservice.com,2055,2,0
fa6056f2-0cbf-450b-8c56-54050d37b66c,americanexpressverify.com,2010,5,0
fa6056f2-0cbf-450b-8c56-54050d37b66c,secure-bankofamerica.com,2096,5,0
fa6056f2-0cbf-450b-8c56-54050d37b66c,micrsoftomline.com,2496,3,0
fa6056f2-0cbf-450b-8c56-54050d37b66c,amazon.com-log-service.himanshusabharwal.com,2288,1,0
26297582-d68c-43a8-a9f5-cd102f9144d9,www.dropbox.com.secure.index-upload.files8h2s.com.yashmatiitc.org,3310,1,0
26297582-d68c-43a8-a9f5-cd102f9144d9,chase.com.checkingaccounts-creditcards.online.confirm.id-find.support-user-mail.data.unitam.edu.mx,2765,1,0
26297582-d68c-43a8-a9f5-cd102f9144d9,facebook1.co,3953,1,0
26297582-d68c-43a8-a9f5-cd102f9144d9,microsoft-outlook.037fx.com,4280,1,0
36da6316-07ca-4d32-b479-374dbf2d2aae,vnotice1001.wellsfargo3032030102.com,5088,1,0
36da6316-07ca-4d32-b479-374dbf2d2aae,chase.com.checkingaccounts-creditcards.online.confirm.id-find.support-user-mail.data.unitam.edu.mx,5023,1,0
50bf6d3a-b44c-4dd3-ae59-46d9403f66dd,welsfargo-fund.com,2912,3,0
16a4e58c-ba00-4e70-8b75-6e8fdbbf1777,w3dropbox.com,1470,1,0
16a4e58c-ba00-4e70-8b75-6e8fdbbf1777,login.xfinity.com.hastyfreights.com,2373,1,0
16a4e58c-ba00-4e70-8b75-6e8fdbbf1777,login-microsoft-us.com,2136,4,0
16a4e58c-ba00-4e70-8b75-6e8fdbbf1777,connect.xfinity.com.free-flash-games-online.com,9603,1,0
d1b980ef-597d-4d68-8ac3-7dee5fa70589,www.update-linkedin.com,1727,3,0
d1b980ef-597d-4d68-8ac3-7dee5fa70589,netflixmaster.com,1223,5,0
d1b980ef-597d-4d68-8ac3-7dee5fa70589,applesupdate.com,657,4,0
d1b980ef-597d-4d68-8ac3-7dee5fa70589,americanexpressverify.com,5359,4,0
d1b980ef-597d-4d68-8ac3-7dee5fa70589,dropbox.org.mx,19265,3,0
d1b980ef-597d-4d68-8ac3-7dee5fa70589,id.orange.service-orange-check.com,2718,2,0
d1b980ef-597d-4d68-8ac3-7dee5fa70589,wellsfargo.com.aandagruoupbd.net,1920,2,0
d1b980ef-597d-4d68-8ac3-7dee5fa70589,updatebankingwells.acc-wellsfargo-info.xyz,1672,2,0
d1b980ef-597d-4d68-8ac3-7dee5fa70589,delivery-shipment-dhl.000webhostapp.com,1400,2,0
d1b980ef-597d-4d68-8ac3-7dee5fa70589,dhltrackid.com,1857,5,0
e9357d0b-a47e-43ac-bb69-00fba25e22ea,secure.store.apple.com.next-sign-up.com,8416,3,0
e9357d0b-a47e-43ac-bb69-00fba25e22ea,appleid.apple.com.idapple-dk.tk,4886,2,0
e9357d0b-a47e-43ac-bb69-00fba25e22ea,secure-bankofamerica.com,5144,4,0
e9357d0b-a47e-43ac-bb69-00fba25e22ea,dl-dropbox.github.io,3608,3,0
e9357d0b-a47e-43ac-bb69-00fba25e22ea,login.mail.yahoo.verify2.enerqy.co.uk,5288,4,0
36da6316-07ca-4d32-b479-374dbf2d2aae,login.drive.google.avdihd.tk,1901,3,0
36da6316-07ca-4d32-b479-374dbf2d2aae,amazon-co-uk-ssl-mail.co.uk,1936,4,0
36da6316-07ca-4d32-b479-374dbf2d2aae,itunes-appleid.com,1840,5,0
f7ef700c-324b-497f-8919-1071f32403b4,yahoo.com.verifyuser.account.catpellet.com.tr,5128,1,0
f7ef700c-324b-497f-8919-1071f32403b4,www.login-linkedin.com,5704,5,0
850e8db5-d4b5-4a5b-b5e9-2ebb6340ceea,upgradexfinitynow.com,2060,1,0
7201d2d1-5646-4c6b-9f85-6847c4dfbaf3,dropbox.org.mx,5059,1,0
7201d2d1-5646-4c6b-9f85-6847c4dfbaf3,dhl.deliveryinprogress.com,3475,3,0
850e8db5-d4b5-4a5b-b5e9-2ebb6340ceea,xfinity-signup.knottsapp.com,82069,1,0
7201d2d1-5646-4c6b-9f85-6847c4dfbaf3,dropbox.reddirtbbq.com,6615,2,0
850e8db5-d4b5-4a5b-b5e9-2ebb6340ceea,microsoftdrop.com,2088,2,0
c18ffe35-a5c2-4daf-a3cf-101634664f8a,disabled.3692832935.cipd.wellsfarg0.one-it.net,2134,1,0
622c8c1a-67b6-41e2-8543-6daa6b6a4303,docusignn.com,1527,2,0
c18ffe35-a5c2-4daf-a3cf-101634664f8a,www.amazonecard.com,2112,1,0
15f02070-f607-4140-9755-6ab9da896ed2,www.facebook.ellom.in,7095,1,0
15f02070-f607-4140-9755-6ab9da896ed2,secure-bankofamerica.com,8345,2,0
430a4909-21e6-4028-a927-3838e6e356a3,wellsfargo.users.personalsecurity.findmybooks.in,2992,1,0
f4f5b461-5f6d-4a59-8404-b18745362e70,mail.netflix-pym.com,9551,5,0
f4f5b461-5f6d-4a59-8404-b18745362e70,connect.xfinity.com.free-flash-games-online.com,2303,3,0
f4f5b461-5f6d-4a59-8404-b18745362e70,microsoft-outlook.037fx.com,1576,4,0
f4f5b461-5f6d-4a59-8404-b18745362e70,secureonline.att.homephoneandinternet.actlap.org,2552,4,0
5ac40b0b-bf8c-4628-ba4a-5653d2687f6e,login-facebook.hkdaily02.one,1312,3,0
5ac40b0b-bf8c-4628-ba4a-5653d2687f6e,www.login-linkedin.com,1472,5,0
5ac40b0b-bf8c-4628-ba4a-5653d2687f6e,bankofamerica-com.ml,1200,5,0
5ac40b0b-bf8c-4628-ba4a-5653d2687f6e,www.deletion.account.yahoo.ververoom.com,6480,4,0
b6515d67-07be-4c30-9b40-e19e3db842cf,mg15-yahoo.com,2012,2,0
b6515d67-07be-4c30-9b40-e19e3db842cf,apple-id.com.update.slavna-plus.com.ua,2194,2,0
b6515d67-07be-4c30-9b40-e19e3db842cf,ssl-google-com-secured.spiritualscholars.com,3472,3,0
b6515d67-07be-4c30-9b40-e19e3db842cf,myprofile2001.id3-440-wellsfargo.com,4432,2,0
b6515d67-07be-4c30-9b40-e19e3db842cf,linkedin.com.marinyaki.com.au,3812,3,0
98c8a074-6bdc-4e99-8624-907cd2a2a857,www.americanexpress-sx89gox03gqn.com,1936,4,0
98c8a074-6bdc-4e99-8624-907cd2a2a857,welcomeamericanexpress.com,1546,3,0
98c8a074-6bdc-4e99-8624-907cd2a2a857,security-paypal.com,6104,4,0
b1370d87-01b2-4ba7-93c5-bf009b1e2f7b,dhlship.tk,1249,3,0
b1370d87-01b2-4ba7-93c5-bf009b1e2f7b,www.docusigner.org,824,5,0
b1370d87-01b2-4ba7-93c5-bf009b1e2f7b,yahooppn.tk,1014,3,0
b1370d87-01b2-4ba7-93c5-bf009b1e2f7b,welsfargo-fund.com,881,3,0
b1370d87-01b2-4ba7-93c5-bf009b1e2f7b,instagram.rezaee.ir,623,4,0
b1370d87-01b2-4ba7-93c5-bf009b1e2f7b,netflixonlineverification.com,1039,5,0
a4b39e83-797f-45a0-b06c-5a39aed8b633,jpmorganchaseonlinebankingverification.typeform.com,12318,3,0
a4b39e83-797f-45a0-b06c-5a39aed8b633,www.instagramn.co.nf,2296,5,0
b538d184-33b2-47d6-b9fb-87c2ef90875e,myprofile4001.9432948-wellsfargo.com,3440,1,0
b538d184-33b2-47d6-b9fb-87c2ef90875e,bankofamerica-online-reconnect.ga,3207,1,0
b538d184-33b2-47d6-b9fb-87c2ef90875e,id-apple.store.update.cmd-pool.data.bullamakanka.com.au,5757,1,0
b538d184-33b2-47d6-b9fb-87c2ef90875e,docusignfolder.com,3136,4,0
991264c7-b0e7-4a9b-9f54-59319080e349,amazon.com.update.nochelatinaclub.com,1655,1,0
991264c7-b0e7-4a9b-9f54-59319080e349,www.yahoo.accountservices.ververoom.com,1435,1,0
991264c7-b0e7-4a9b-9f54-59319080e349,paypal-resolve-now.sign-in-customer.info,1387,1,0
98cdbe27-0a08-4ad9-999e-a05f8e397871,secure.paypal.com.serviceaccount-loginpage.privycy.info,3071,1,0
98cdbe27-0a08-4ad9-999e-a05f8e397871,amazon.com-log-service.himanshusabharwal.com,2799,1,0
98cdbe27-0a08-4ad9-999e-a05f8e397871,admin.att.mobiliariostore.com,1768,1,0
98cdbe27-0a08-4ad9-999e-a05f8e397871,paypal.verif-serv.info,1440,1,0
98cdbe27-0a08-4ad9-999e-a05f8e397871,login.comcast.net-xfinity-securelogin-validateaccount.x009.net,2120,1,0
98cdbe27-0a08-4ad9-999e-a05f8e397871,dhl.deliveryinprogress.com,1072,1,0
f5de2041-13c1-4211-a5ae-1e1b5e282e36,account-secure-paypql.ga,3019,3,0
f5de2041-13c1-4211-a5ae-1e1b5e282e36,micrsoftomline.com,2629,3,0
f5de2041-13c1-4211-a5ae-1e1b5e282e36,docusignfile.com,1549,5,0
f5de2041-13c1-4211-a5ae-1e1b5e282e36,facebook1.co,1883,1,0
f5de2041-13c1-4211-a5ae-1e1b5e282e36,ssl.gstatic.google.com.ventura.co.zm,2194,2,0
f5de2041-13c1-4211-a5ae-1e1b5e282e36,docusign.signedcopy.online,2875,3,0
25f460d1-db97-4376-9e5e-f7d78de76c81,verifybyamericanexpress.com,1648,3,0
25f460d1-db97-4376-9e5e-f7d78de76c81,www.dropbox-en.ml,15158,2,0
25f460d1-db97-4376-9e5e-f7d78de76c81,login-account-netfliix.com,3231,4,0
69c11e15-ca57-4be2-819b-11dadbd34a3f,chasecomcredit-cards-rtbl-account-access-rtbl.000webhostapp.com,2199,4,0
69c11e15-ca57-4be2-819b-11dadbd34a3f,itunes.apple.verification.compte.id.admiral-placements.co.za,1184,5,0
c73f79bc-736c-436d-8511-01604578ec31,netflixmaster.com,5541,2,0
c73f79bc-736c-436d-8511-01604578ec31,vrf-facebook-account-com.cf,3782,1,0
c73f79bc-736c-436d-8511-01604578ec31,dropbox.reddirtbbq.com,2432,1,0
c73f79bc-736c-436d-8511-01604578ec31,verifybyamericanexpress.com,4009,4,0
c73f79bc-736c-436d-8511-01604578ec31,login-account-netfliix.com,4255,2,0
