user_id,age,gender,education,origin,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,sum,avg,attention_test1,attention_test2,phishing,techniques,future
ef03e9ec-33a3-4733-b714-fee31a93756b,36_45,male,over_master,north_america,1,1,0,0,0,2,2,0,1,1,2,2,2,0,2,0,16,1.0,never,often,no,no,yes
bf3eebee-327b-4136-b3fb-0729a71e93aa,26_35,female,bachelor,north_america,0,3,1,4,4,4,0,0,3,3,0,2,3,2,2,0,31,1.9375,never,rarely,yes,not_all,yes
be07c01a-ddd0-40ae-a147-e0e40fb895ab,26_35,female,bachelor,north_america,2,3,1,4,4,4,0,1,2,3,3,2,3,0,4,0,36,2.25,never,always,yes,no,yes
78b800ab-37b4-43d5-9b88-f984c92d06a3,26_35,male,bachelor,north_america,2,3,1,2,2,2,1,1,2,3,2,3,2,3,2,2,33,2.0625,never,rarely,not_known,not_all,not_known
0537de69-16f9-4fc6-be8f-f34537a7f01f,26_35,male,bachelor,asia,2,2,3,4,4,4,3,1,4,3,1,4,2,0,3,2,42,2.625,never,often,no,no,yes
5905d562-79b7-4f1f-b045-708572f51e3b,26_35,female,bachelor,north_america,2,3,2,4,4,4,3,1,2,3,2,2,3,0,3,0,38,2.375,never,sometimes,no,no,yes
7a034678-e309-4000-960d-b06e8077d84b,36_45,female,master,north_america,3,3,3,4,4,4,1,1,3,2,1,0,4,1,2,0,36,2.25,never,always,no,not_all,yes
bda40549-d39d-4a43-88a9-a06ba251d1d7,36_45,female,high_school,north_america,3,3,2,4,4,4,2,0,3,4,2,2,3,2,2,0,40,2.5,never,always,no,no,no
3e906259-bd1f-4ed5-b5ad-c11a81e9d5c3,26_35,male,high_school,north_america,2,3,3,3,4,4,0,1,3,3,1,1,3,0,4,1,36,2.25,never,sometimes,no,yes,yes
ff1048ec-3f11-44c1-a715-dc632b86aee7,36_45,female,no_degree,north_america,0,0,2,2,2,4,0,1,2,3,1,3,3,2,2,2,29,1.8125,never,never,no,not_all,yes
75a4ca19-07a5-4161-8ac4-ade4579049b2,over_55,non_binary,high_school,north_america,4,3,1,1,2,4,1,0,3,3,4,2,3,0,4,3,38,2.375,never,always,no,not_all,yes
fa6056f2-0cbf-450b-8c56-54050d37b66c,26_35,male,bachelor,north_america,3,3,2,1,2,3,3,0,3,2,1,3,2,2,2,1,33,2.0625,never,always,no,no,yes
26297582-d68c-43a8-a9f5-cd102f9144d9,36_45,male,bachelor,north_america,2,3,0,0,4,4,1,0,3,3,0,3,3,0,3,0,29,1.8125,never,rarely,no,yes,no
36da6316-07ca-4d32-b479-374dbf2d2aae,36_45,male,high_school,north_america,3,4,0,0,4,0,0,0,4,3,0,0,4,0,4,0,26,1.625,never,sometimes,no,yes,not_known
50bf6d3a-b44c-4dd3-ae59-46d9403f66dd,26_35,male,no_degree,north_america,4,4,4,4,4,4,0,0,4,4,0,0,4,0,4,0,40,2.5,never,always,yes,yes,yes
16a4e58c-ba00-4e70-8b75-6e8fdbbf1777,36_45,female,bachelor,north_america,2,2,0,3,4,4,2,0,3,2,0,0,4,0,4,0,30,1.875,never,sometimes,no,yes,yes
d1b980ef-597d-4d68-8ac3-7dee5fa70589,26_35,male,bachelor,asia,2,3,3,3,3,2,3,3,2,2,4,2,3,3,2,2,42,2.625,always,often,no,no,yes
