user_id,test_domain,classification,elapsed_time,result
ef03e9ec-33a3-4733-b714-fee31a93756b,newsroom.fb.com,0,3664,1
ef03e9ec-33a3-4733-b714-fee31a93756b,docusign.com,0,3568,0
ef03e9ec-33a3-4733-b714-fee31a93756b,webdropbox.net,1,1984,1
ef03e9ec-33a3-4733-b714-fee31a93756b,jpmorganchaseonlinebankingverification.typeform.com,1,1623,1
ef03e9ec-33a3-4733-b714-fee31a93756b,dropbox.reddirtbbq.com,1,1745,1
ef03e9ec-33a3-4733-b714-fee31a93756b,apple.com,0,2336,0
ef03e9ec-33a3-4733-b714-fee31a93756b,login.docusign.securedfolder.net,1,1584,1
ef03e9ec-33a3-4733-b714-fee31a93756b,premium.billing.netflix.premier.login.premieraccount-netflix.com,1,1848,1
ef03e9ec-33a3-4733-b714-fee31a93756b,dhlship.tk,1,1752,1
ef03e9ec-33a3-4733-b714-fee31a93756b,dhlservices.deliveryinprogress.com,1,1112,1
ef03e9ec-33a3-4733-b714-fee31a93756b,chaseonline.chase.com.billsyst-paypal.com,1,1600,1
ef03e9ec-33a3-4733-b714-fee31a93756b,paymentnet.jpmorgan.com,0,1344,1
ef03e9ec-33a3-4733-b714-fee31a93756b,accnetflixdate.com,1,1832,1
ef03e9ec-33a3-4733-b714-fee31a93756b,chasebank.scotibanks.com,1,2264,1
ef03e9ec-33a3-4733-b714-fee31a93756b,insttagram.hol.es,1,1264,1
ef03e9ec-33a3-4733-b714-fee31a93756b,login-yahoo-com.wisci.us,1,1304,1
ef03e9ec-33a3-4733-b714-fee31a93756b,instagram.rezaee.ir,1,1520,1
ef03e9ec-33a3-4733-b714-fee31a93756b,facebookbr.net,1,1472,1
ef03e9ec-33a3-4733-b714-fee31a93756b,bankofamerica-online-reconnect.ga,1,2064,1
ef03e9ec-33a3-4733-b714-fee31a93756b,dhlexpress.delivery.recordcorrection.net,1,1232,1
ef03e9ec-33a3-4733-b714-fee31a93756b,myprofile4001.9432948-wellsfargo.com,1,1264,1
ef03e9ec-33a3-4733-b714-fee31a93756b,dhl-tracking.bkth-bkk.com,1,1328,1
ef03e9ec-33a3-4733-b714-fee31a93756b,upgradexfinitynow.com,1,1808,1
ef03e9ec-33a3-4733-b714-fee31a93756b,docusignn.com,1,1752,1
ef03e9ec-33a3-4733-b714-fee31a93756b,microsoft.com,0,1928,0
ef03e9ec-33a3-4733-b714-fee31a93756b,myjpmorganchaseupdate.hpage.co.in,1,1192,1
ef03e9ec-33a3-4733-b714-fee31a93756b,secure.store.apple.com.next-sign-up.com,1,1448,1
ef03e9ec-33a3-4733-b714-fee31a93756b,account.docusign.com,0,1856,1
ef03e9ec-33a3-4733-b714-fee31a93756b,netflix-pending.com,1,6216,1
ef03e9ec-33a3-4733-b714-fee31a93756b,dropbox.com,0,7088,1
ef03e9ec-33a3-4733-b714-fee31a93756b,applesupdate.com,1,1424,1
ef03e9ec-33a3-4733-b714-fee31a93756b,instgram.besaba.com,1,1848,1
ef03e9ec-33a3-4733-b714-fee31a93756b,document-share-docusign-mess.classicalschoolathome.com,1,1384,1
ef03e9ec-33a3-4733-b714-fee31a93756b,docusign.signedcopy.online,1,1544,1
ef03e9ec-33a3-4733-b714-fee31a93756b,id.orange.fr.authuser2.bin.waltermarquez.com.ve,1,1216,1
ef03e9ec-33a3-4733-b714-fee31a93756b,paypal-prepaid.com,0,1656,1
ef03e9ec-33a3-4733-b714-fee31a93756b,www.dropbox-en.ml,1,1431,1
ef03e9ec-33a3-4733-b714-fee31a93756b,premieraccount-netflix.com,1,1504,1
bf3eebee-327b-4136-b3fb-0729a71e93aa,wellsfargo.com.aandagruoupbd.net,1,1599,1
ef03e9ec-33a3-4733-b714-fee31a93756b,dropbox.org.mx,1,1328,1
bf3eebee-327b-4136-b3fb-0729a71e93aa,yahooppn.tk,1,1626,1
ef03e9ec-33a3-4733-b714-fee31a93756b,www.yahoo.accountservices.ververoom.com,1,2104,1
bf3eebee-327b-4136-b3fb-0729a71e93aa,yahoo.com,0,1899,0
ef03e9ec-33a3-4733-b714-fee31a93756b,www.instagram-verified.com,1,1224,1
ef03e9ec-33a3-4733-b714-fee31a93756b,products.office.com,0,1544,1
bf3eebee-327b-4136-b3fb-0729a71e93aa,chasesbanks.com,1,3186,1
ef03e9ec-33a3-4733-b714-fee31a93756b,online-americaexpress.depilab.cl,1,1512,1
bf3eebee-327b-4136-b3fb-0729a71e93aa,ssl-google-com-secured.spiritualscholars.com,1,1862,1
